feature_name_new,explanation
H_hi_jpeg_ratio,The JPEG compression ratio of the H channel when keeping high quality.
H_mid_jpeg_ratio,The JPEG compression ratio of the H channel when keeping mid quality.
H_low_jpeg_ratio,The JPEG compression ratio of the H channel when keeping low quality.
H_zipf_rank_slope,The regression line's slope of Zipf rank frequency of the H channel.
H_zipf_rank_corr,The regression line's correlation coeffienct of Zipf rank frequency of the H channel.
H_zipf_size_slope,The regression line's slope of Zipf size frequency of the H channel.
H_zipf_size_corr,The regression line's correlation coeffienct of Zipf size frequency of the H channel.
H_edge_ratio,The percentage of edge pixels of the H channel.
H_canny_hi_jpeg_ratio,The JPEG compression ratio when applying canny filter on H channel and keeping high quality.
H_canny_mid_jpeg_ratio,The JPEG compression ratio when applying canny filter on H channel and keeping mid quality.
H_canny_low_jpeg_ratio,The JPEG compression ratio when applying canny filter on H channel and keeping low quality.
H_canny_zipf_rank_slope,The regression line's slope of Zipf rank frequency when applying canny filter on H channel.
H_canny_zipf_rank_corr,The regression line's correlation coeffienct of Zipf rank frequency when applying canny filter on H channel.
H_canny_zipf_size_slope,The regression line's slope of Zipf size frequency when applying canny filter on H channel.
H_canny_zipf_size_corr,The regression line's correlation coeffienct of Zipf size frequency when applying canny filter on H channel.
H_sobel_hi_jpeg_ratio,The JPEG compression ratio when applying sobel filter on H channel and keeping high quality.
H_sobel_mid_jpeg_ratio,The JPEG compression ratio when applying sobel filter on H channel and keeping mid quality.
H_sobel_low_jpeg_ratio,The JPEG compression ratio when applying sobel filter on H channel and keeping low quality.
H_sobel_zipf_rank_slope,The regression line's slope of Zipf rank frequency when applying sobel filter on H channel.
H_sobel_zipf_rank_corr,The regression line's correlation coeffienct of Zipf rank frequency when applying sobel filter on H channel.
H_sobel_zipf_size_slope,The regression line's slope of Zipf size frequency when applying sobel filter on H channel.
H_sobel_zipf_size_corr,The regression line's correlation coeffienct of Zipf size frequency when applying sobel filter on H channel.
S_hi_jpeg_ratio,The JPEG compression ratio of the S channel when keeping high quality.
S_mid_jpeg_ratio,The JPEG compression ratio of the S channel when keeping mid quality.
S_low_jpeg_ratio,The JPEG compression ratio of the S channel when keeping low quality.
S_zipf_rank_slope,The regression line's slope of Zipf rank frequency of the S channel.
S_zipf_rank_corr,The regression line's correlation coeffienct of Zipf rank frequency of the S channel.
S_zipf_size_slope,The regression line's slope of Zipf size frequency of the S channel.
S_zipf_size_corr,The regression line's correlation coeffienct of Zipf size frequency of the S channel.
S_edge_ratio,The percentage of edge pixels of the S channel.
S_canny_hi_jpeg_ratio,The JPEG compression ratio when applying canny filter on S channel and keeping high quality.
S_canny_mid_jpeg_ratio,The JPEG compression ratio when applying canny filter on S channel and keeping mid quality.
S_canny_low_jpeg_ratio,The JPEG compression ratio when applying canny filter on S channel and keeping low quality.
S_canny_zipf_rank_slope,The regression line's slope of Zipf rank frequency when applying canny filter on S channel.
S_canny_zipf_rank_corr,The regression line's correlation coeffienct of Zipf rank frequency when applying canny filter on S channel.
S_canny_zipf_size_slope,The regression line's slope of Zipf size frequency when applying canny filter on S channel.
S_canny_zipf_size_corr,The regression line's correlation coeffienct of Zipf size frequency when applying canny filter on S channel.
S_sobel_hi_jpeg_ratio,The JPEG compression ratio when applying sobel filter on S channel and keeping high quality.
S_sobel_mid_jpeg_ratio,The JPEG compression ratio when applying sobel filter on S channel and keeping mid quality.
S_sobel_low_jpeg_ratio,The JPEG compression ratio when applying sobel filter on S channel and keeping low quality.
S_sobel_zipf_rank_slope,The regression line's slope of Zipf rank frequency when applying sobel filter on S channel.
S_sobel_zipf_rank_corr,The regression line's correlation coeffienct of Zipf rank frequency when applying sobel filter on S channel.
S_sobel_zipf_size_slope,The regression line's slope of Zipf size frequency when applying sobel filter on S channel.
S_sobel_zipf_size_corr,The regression line's correlation coeffienct of Zipf size frequency when applying sobel filter on S channel.
V_hi_jpeg_ratio,The JPEG compression ratio of the V channel when keeping high quality.
V_mid_jpeg_ratio,The JPEG compression ratio of the V channel when keeping mid quality.
V_low_jpeg_ratio,The JPEG compression ratio of the V channel when keeping low quality.
V_zipf_rank_slope,The regression line's slope of Zipf rank frequency of the V channel.
V_zipf_rank_corr,The regression line's correlation coeffienct of Zipf rank frequency of the V channel.
V_zipf_size_slope,The regression line's slope of Zipf size frequency of the V channel.
V_zipf_size_corr,The regression line's correlation coeffienct of Zipf size frequency of the V channel.
V_edge_ratio,The percentage of edge pixels of the V channel.
V_canny_hi_jpeg_ratio,The JPEG compression ratio when applying canny filter on V channel and keeping high quality.
V_canny_mid_jpeg_ratio,The JPEG compression ratio when applying canny filter on V channel and keeping mid quality.
V_canny_low_jpeg_ratio,The JPEG compression ratio when applying canny filter on V channel and keeping low quality.
