feature,p-value,corr,semantic,granularity
H_hi_jpeg_ratio,9.212554638790308e-23,0.3311047930772101,amount,pixel
H_mid_jpeg_ratio,5.497329914737425e-18,0.2932778429797727,amount,pixel
H_low_jpeg_ratio,2.6734377987920288e-20,0.3122820114635348,amount,pixel
H_zipf_size_slope,8.0630853441013e-15,-0.2646801619135329,variety,pixel
H_zipf_size_corr,5.070436283669208e-11,-0.2250103260157918,variety,pixel
H_edge_ratio,1.986129206924838e-19,0.305289953866359,amount,pixel
H_canny_hi_jpeg_ratio,1.062352296296286e-23,0.3379415731058998,amount,pixel
H_canny_mid_jpeg_ratio,6.716366726551544e-23,0.3321158367269476,amount,pixel
H_canny_low_jpeg_ratio,2.4396838073889093e-23,0.33533052077436165,amount,pixel
H_canny_zipf_rank_slope,1.1647373137236253e-06,0.16750260234930128,variety,pixel
H_canny_zipf_rank_corr,1.2375243913791447e-07,0.18195537400332634,variety,pixel
H_canny_zipf_size_slope,1.2989852274134302e-05,0.15043992912034468,variety,pixel
H_canny_zipf_size_corr,1.4646653493593388e-06,0.16595522686265698,variety,pixel
H_sobel_hi_jpeg_ratio,1.3585299803058207e-21,0.32233799137669583,amount,pixel
H_sobel_mid_jpeg_ratio,9.919499259442436e-18,0.29108197941774505,amount,pixel
H_sobel_low_jpeg_ratio,1.2193126814069515e-19,0.3070084651697076,amount,pixel
H_sobel_zipf_rank_corr,0.00012158635396680889,-0.13275835133408923,variety,pixel
H_sobel_zipf_size_slope,0.006271359821288809,0.09463084916900977,variety,pixel
S_hi_jpeg_ratio,1.7505776734218188e-28,0.37038976253553335,amount,pixel
S_mid_jpeg_ratio,1.79792379776347e-23,0.3362920582652133,amount,pixel
S_low_jpeg_ratio,4.066118683831526e-26,0.3548097766677628,amount,pixel
S_zipf_rank_corr,0.0018870550753683467,0.10751615879735266,variety,pixel
S_zipf_size_slope,0.0050283423814422735,0.09711087018366459,variety,pixel
S_edge_ratio,9.26731890136139e-23,0.3310857948685817,amount,pixel
S_canny_hi_jpeg_ratio,4.883785035545995e-25,0.34740260339597484,amount,pixel
S_canny_mid_jpeg_ratio,5.984070408776882e-25,0.34678834149041227,amount,pixel
S_canny_low_jpeg_ratio,4.791651128127517e-25,0.34746011248619485,amount,pixel
S_canny_zipf_rank_slope,2.052772471219044e-09,0.20574830023109486,variety,pixel
S_canny_zipf_rank_corr,2.9908754045306884e-10,0.2159989516463557,variety,pixel
S_canny_zipf_size_slope,5.013816887254626e-08,0.18746444069205828,variety,pixel
S_canny_zipf_size_corr,7.682558372693001e-09,0.1984069353371861,variety,pixel
S_sobel_hi_jpeg_ratio,2.55387429882431e-25,0.3493535309506417,amount,pixel
S_sobel_mid_jpeg_ratio,2.88169795210814e-18,0.2956590276130526,amount,pixel
S_sobel_low_jpeg_ratio,4.982152256523731e-22,0.3256395873722903,amount,pixel
S_sobel_zipf_rank_slope,1.4297234738962415e-06,0.16611895743092853,variety,pixel
S_sobel_zipf_size_slope,1.3423018877747442e-05,0.1501949183775586,variety,pixel
V_hi_jpeg_ratio,2.2846957166779024e-31,0.38829809904575435,amount,pixel
V_mid_jpeg_ratio,1.7739909973706905e-18,0.2974330344950656,amount,pixel
V_low_jpeg_ratio,7.590491073930495e-25,0.34606769331443077,amount,pixel
V_zipf_rank_slope,0.007970402544991652,-0.09187558680662392,variety,pixel
V_zipf_size_slope,3.2070202894356745e-06,0.1605520121707185,variety,pixel
V_zipf_size_corr,6.55630569253493e-08,-0.1858461398033252,variety,pixel
V_edge_ratio,3.9970165859263843e-16,0.27687256444395064,amount,pixel
V_canny_hi_jpeg_ratio,1.7525361369455382e-23,0.33637244911450875,amount,pixel
V_canny_mid_jpeg_ratio,2.662510388445802e-22,0.32768142222816277,amount,pixel
V_canny_low_jpeg_ratio,5.0889874803815097e-23,0.33300043917723027,amount,pixel
V_canny_zipf_rank_slope,8.714935502308974e-13,0.24431599248081526,variety,pixel
V_canny_zipf_rank_corr,2.5450501785939497e-13,0.2498461509820564,variety,pixel
V_canny_zipf_size_slope,1.849262992318832e-12,0.24086758480177542,variety,pixel
V_canny_zipf_size_corr,4.992882909402751e-13,0.24683539389986267,variety,pixel
V_sobel_hi_jpeg_ratio,7.602058620438849e-21,0.3165729836991366,amount,pixel
V_sobel_mid_jpeg_ratio,2.0829944731848428e-08,0.19266746526958647,amount,pixel
V_sobel_low_jpeg_ratio,3.825681785186224e-14,0.25810633258757976,amount,pixel
V_sobel_zipf_rank_slope,0.0026019929762448727,0.10420494682789881,variety,pixel
V_sobel_zipf_rank_corr,0.00014743378276682137,-0.13112987176135688,variety,pixel
V_sobel_zipf_size_corr,5.045768585283518e-06,-0.15734478849451103,variety,pixel
RGB_hi_jpeg_ratio,4.754109431474381e-38,0.42598815697017345,amount,pixel
RGB_mid_jpeg_ratio,3.3518901910868124e-24,0.34152356748125706,amount,pixel
RGB_low_jpeg_ratio,3.4873992336010985e-31,0.3871903041314976,amount,pixel
CS_hi_jpeg_ratio,2.0799853445626133e-26,0.35677396536314593,amount,pixel
CS_mid_jpeg_ratio,5.391513310271267e-21,0.3177333372995145,amount,pixel
CS_low_jpeg_ratio,7.69041673267748e-24,0.33894958697372907,amount,pixel
CS_zipf_size_slope,9.205032172015185e-07,0.16907730664822399,variety,pixel
CS_edge_ratio,7.329860091178837e-19,0.30063357382197886,amount,pixel
CS_canny_hi_jpeg_ratio,1.3809932953893557e-20,0.3145447262020335,amount,pixel
CS_canny_mid_jpeg_ratio,1.7952926719669797e-20,0.3136483456743472,amount,pixel
CS_canny_low_jpeg_ratio,1.4202659199667145e-20,0.3144490685065475,amount,pixel
CS_canny_zipf_rank_slope,1.8289088798117876e-11,0.23001876845225272,variety,pixel
CS_canny_zipf_rank_corr,4.251364854612242e-12,0.2369884116918687,variety,pixel
CS_canny_zipf_size_slope,2.3279498094638293e-10,0.21729524083926546,variety,pixel
